h,irf,lower,upper,ci_excludes_zero,effect_sign,band_sign,impulse,response,ci,ci_label,ci_tag,tag,p_used,cum_irf,cum_lower,cum_upper
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0,0,0
1,0.0020712598932650325,-0.0034887654787836863,0.005776012225001167,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.0020712598932650325,-0.0034887654787836863,0.005776012225001167
2,0.004472916572942152,-7.493084807416559e-4,0.007467776192473302,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.0065441764662071845,-0.004238073959525342,0.013243788417474468
3,-0.0023617365740849446,-0.006165574279995138,0.0020189364956235295,FALSE,negativo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.004182439892122239,-0.010403648239520481,0.015262724913097998
4,0.0026257649118016655,-7.630315786920586e-4,0.00478825422601684,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.006808204803923905,-0.011166679818212538,0.020050979139114838
5,0.0013722915594755686,-0.0015105681213616311,0.003381034169676724,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.008180496363399473,-0.012677247939574171,0.023432013308791563
6,0.0023692613466796174,-6.708433699235992e-4,0.004331481254836225,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.010549757710079091,-0.013348091309497769,0.027763494563627786
7,-3.2788004805455855e-4,-0.0026087448989379927,0.0017864996048363412,FALSE,negativo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.010221877662024533,-0.015956836208435764,0.029549994168464128
8,0.004934034878632154,0.0018577640668069832,0.006232591343120359,TRUE,positivo,positivo,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.015155912540656687,-0.014099072141628779,0.03578258551158449
9,0.0010203911086865962,-0.001168495709614761,0.002210753125483229,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.016176303649343284,-0.01526756785124354,0.03799333863706772
10,0.0014630740259544825,-6.536092879951571e-4,0.0022950886849774886,FALSE,positivo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.017639377675297767,-0.0159211771392387,0.040288427322045205
11,-0.0013012154901347521,-0.0025833936410734402,1.2897479194531723e-4,FALSE,negativo,incluye_cero,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.016338162185163013,-0.018504570780312136,0.040417402113990523
12,0.002348495052960596,3.258346812237237e-4,0.002834692730637557,TRUE,positivo,positivo,v,gw,0.68,68%,68,baseline_mean_winsor,4,0.01868665723812361,-0.018178736099088412,0.04325209484462808
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0,0,0
1,0.0020712598932650325,-0.006367477414926106,0.008824554666767931,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.0020712598932650325,-0.006367477414926106,0.008824554666767931
2,0.004472916572942152,-0.0037791106330401242,0.010050726312151299,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.0065441764662071845,-0.01014658804796623,0.01887528097891923
3,-0.0023617365740849446,-0.008737621140837632,0.004573973342397824,FALSE,negativo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.004182439892122239,-0.018884209188803864,0.023449254321317052
4,0.0026257649118016655,-0.002701961480304041,0.006676918832287917,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.006808204803923905,-0.021586170669107903,0.03012617315360497
5,0.0013722915594755686,-0.0031663283303949553,0.0049671168774008114,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.008180496363399473,-0.02475249899950286,0.03509329003100578
6,0.0023692613466796174,-0.002425353666937423,0.0061383440833029795,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.010549757710079091,-0.027177852666440284,0.04123163411430876
7,-3.2788004805455855e-4,-0.0041128952362565075,0.0036073947701013905,FALSE,negativo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.010221877662024533,-0.03129074790269679,0.04483902888441015
8,0.004934034878632154,7.272894146652406e-4,0.008005422062105319,TRUE,positivo,positivo,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.015155912540656687,-0.03056345848803155,0.05284445094651547
9,0.0010203911086865962,-0.0021646027653016205,0.0036527248151707985,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.016176303649343284,-0.03272806125333317,0.056497175761686266
10,0.0014630740259544825,-0.001631144231787405,0.0032874162089008324,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.017639377675297767,-0.03435920548512057,0.0597845919705871
11,-0.0013012154901347521,-0.0036596885143603533,0.0011051838585853084,FALSE,negativo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.016338162185163013,-0.03801889399948093,0.06088977582917241
12,0.002348495052960596,-3.0605176609938456e-4,0.003885212884734129,FALSE,positivo,incluye_cero,v,gw,0.9,90%,90,baseline_mean_winsor,4,0.01868665723812361,-0.038324945765580314,0.06477498871390654
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0,0,0
1,0.0020712598932650325,-0.008236978722802423,0.010595449807014856,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.0020712598932650325,-0.008236978722802423,0.010595449807014856
2,0.004472916572942152,-0.0049870061959858,0.011144659999381495,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.0065441764662071845,-0.013223984918788224,0.021740109806396353
3,-0.0023617365740849446,-0.009950400161956573,0.005688356868651782,FALSE,negativo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.004182439892122239,-0.023174385080744795,0.027428466675048134
4,0.0026257649118016655,-0.0038124599089985607,0.007561612538383869,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.006808204803923905,-0.026986844989743356,0.034990079213432
5,0.0013722915594755686,-0.004211172508744604,0.005682725071478594,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.008180496363399473,-0.03119801749848796,0.040672804284910595
6,0.0023692613466796174,-0.0032719243062514815,0.006893417928487448,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.010549757710079091,-0.03446994180473944,0.04756622221339805
7,-3.2788004805455855e-4,-0.004971999198998261,0.004834619273623669,FALSE,negativo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.010221877662024533,-0.039441941003737706,0.05240084148702171
8,0.004934034878632154,2.5355776567901787e-4,0.008869612695307113,TRUE,positivo,positivo,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.015155912540656687,-0.039188383238058684,0.06127045418232883
9,0.0010203911086865962,-0.0027058563977519147,0.004330581695290002,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.016176303649343284,-0.0418942396358106,0.06560103587761883
10,0.0014630740259544825,-0.002119313969594438,0.004038402663779363,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.017639377675297767,-0.044013553605405036,0.06963943854139819
11,-0.0013012154901347521,-0.004356989856528937,0.001616580707118209,FALSE,negativo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.016338162185163013,-0.04837054346193397,0.0712560192485164
12,0.002348495052960596,-6.696626802371876e-4,0.004509018067288614,FALSE,positivo,incluye_cero,v,gw,0.95,95%,95,baseline_mean_winsor,4,0.01868665723812361,-0.04904020614217116,0.07576503731580501
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0,0,0
1,0.0020712598932650325,-0.010950260674732211,0.013979611918228718,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.0020712598932650325,-0.010950260674732211,0.013979611918228718
2,0.004472916572942152,-0.007750125849312937,0.014549744287319052,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.0065441764662071845,-0.018700386524045147,0.028529356205547772
3,-0.0023617365740849446,-0.012763359418921726,0.008172671656075412,FALSE,negativo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.004182439892122239,-0.03146374594296687,0.03670202786162318
4,0.0026257649118016655,-0.006177613571624583,0.009529603109738282,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.006808204803923905,-0.03764135951459146,0.046231630971361466
5,0.0013722915594755686,-0.006422306393185633,0.007833866216247563,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.008180496363399473,-0.04406366590777709,0.05406549718760903
6,0.0023692613466796174,-0.005610700418547221,0.008984967505983934,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.010549757710079091,-0.04967436632632431,0.06305046469359296
7,-3.2788004805455855e-4,-0.006720976404495984,0.006576734823346253,FALSE,negativo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.010221877662024533,-0.056395342730820294,0.06962719951693921
8,0.004934034878632154,-7.894675757342252e-4,0.010700591492454609,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.015155912540656687,-0.05718481030655452,0.08032779100939383
9,0.0010203911086865962,-0.003863313580939376,0.005859069281257329,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.016176303649343284,-0.061048123887493894,0.08618686029065115
10,0.0014630740259544825,-0.003344820876052646,0.005750262647669507,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.017639377675297767,-0.06439294476354654,0.09193712293832065
11,-0.0013012154901347521,-0.005572071406364248,0.00244350942624608,FALSE,negativo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.016338162185163013,-0.06996501616991078,0.09438063236456674
12,0.002348495052960596,-0.001456830700956458,0.005963049092537117,FALSE,positivo,incluye_cero,v,gw,0.99,99%,99,baseline_mean_winsor,4,0.01868665723812361,-0.07142184687086725,0.10034368145710386
0,0,0,0,FALSE,cero,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0,0,0
1,0.0020712598932650325,-0.013680827179666103,0.01814276130955778,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.0020712598932650325,-0.013680827179666103,0.01814276130955778
2,0.004472916572942152,-0.0095076572557177,0.018397234854190887,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.0065441764662071845,-0.0231884844353838,0.036539996163748666
3,-0.0023617365740849446,-0.014792587188648124,0.009210710247516027,FALSE,negativo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.004182439892122239,-0.03798107162403193,0.04575070641126469
4,0.0026257649118016655,-0.007801263951529476,0.01246289576682743,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.006808204803923905,-0.045782335575561404,0.05821360217809212
5,0.0013722915594755686,-0.009841696612477866,0.010488757548462766,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.008180496363399473,-0.05562403218803927,0.06870235972655489
6,0.0023692613466796174,-0.007935001683509267,0.011690713645712454,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.010549757710079091,-0.06355903387154854,0.08039307337226734
7,-3.2788004805455855e-4,-0.007800111599740305,0.009323880716226534,FALSE,negativo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.010221877662024533,-0.07135914547128884,0.08971695408849388
8,0.004934034878632154,-0.0017812892764007197,0.01286554917821441,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.015155912540656687,-0.07314043474768957,0.10258250326670829
9,0.0010203911086865962,-0.0050905658352629725,0.007753692375780832,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.016176303649343284,-0.07823100058295253,0.11033619564248912
10,0.0014630740259544825,-0.004746974760986223,0.006230811840139392,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.017639377675297767,-0.08297797534393876,0.1165670074826285
11,-0.0013012154901347521,-0.006939889312506876,0.005136616631142147,FALSE,negativo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.016338162185163013,-0.08991786465644563,0.12170362411377066
12,0.002348495052960596,-0.0028755704787751884,0.007939081381918161,FALSE,positivo,incluye_cero,v,gw,0.999,99.9%,999,baseline_mean_winsor,4,0.01868665723812361,-0.09279343513522081,0.12964270549568882
