spec,var_short,T,ADF_type,ADF_stat,ADF_cv_10,ADF_cv_5,ADF_cv_1,ADF_reject_5pct,KPSS_type,KPSS_stat,KPSS_cv_10,KPSS_cv_5,KPSS_cv_1,KPSS_reject_5pct
Baseline (mean winsor),ga,59,drift,-7.179606596852856,-2.58,-2.89,-3.51,TRUE,mu,0.08120852342769043,0.347,0.463,0.739,FALSE
Baseline (mean winsor),gw,59,drift,-5.4192499733489035,-2.58,-2.89,-3.51,TRUE,mu,0.29740962541572663,0.347,0.463,0.739,FALSE
Baseline (mean winsor),v,59,drift,-2.8793863098946533,-2.58,-2.89,-3.51,FALSE,mu,0.26848875436391,0.347,0.463,0.739,FALSE
Robustez (mean no-winsor),ga,59,drift,-7.179606596852856,-2.58,-2.89,-3.51,TRUE,mu,0.08120852342769043,0.347,0.463,0.739,FALSE
Robustez (mean no-winsor),gw,59,drift,-5.5088065430832485,-2.58,-2.89,-3.51,TRUE,mu,0.273787824045705,0.347,0.463,0.739,FALSE
Robustez (mean no-winsor),v,59,drift,-2.8793863098946533,-2.58,-2.89,-3.51,FALSE,mu,0.26848875436391,0.347,0.463,0.739,FALSE
Robustez (median),ga,59,drift,-7.179606596852856,-2.58,-2.89,-3.51,TRUE,mu,0.08120852342769043,0.347,0.463,0.739,FALSE
Robustez (median),gw,59,drift,-5.879581038183902,-2.58,-2.89,-3.51,TRUE,mu,0.3419115394436167,0.347,0.463,0.739,FALSE
Robustez (median),v,59,drift,-2.8793863098946533,-2.58,-2.89,-3.51,FALSE,mu,0.26848875436391,0.347,0.463,0.739,FALSE
